"14-1-6085573-0-10-6085573";"Object with ID 6085573 in Table 6085573";"Document Capture Setup";"Document Capture-Setup"
"14-1-6085573-1-10-1";"Field 'Primary Key'(1) in Table 'Document Capture Setup'(6085573)";"Primary Key";"Primärschlüssel"
"14-1-6085573-1-10-100";"Field 'Purch: Use TIFF-Form for Appr.'(100) in Table 'Document Capture Setup'(6085573)";"Use TIFF-Form for Approval";"Use TIFF-Form for Approval"
"14-1-6085573-1-10-101";"Field 'Purch: No. of Open PIs'(101) in Table 'Document Capture Setup'(6085573)";"No. of Open Invoices";"No. of Open Invoices"
"14-1-6085573-1-10-102";"Field 'Purch: No. of Released PIs'(102) in Table 'Document Capture Setup'(6085573)";"No. of Released Invoices";"No. of Released Invoices"
"14-1-6085573-1-10-103";"Field 'Purch: No. of PIs for Approval'(103) in Table 'Document Capture Setup'(6085573)";"No. of Invoices for Approval";"No. of Invoices for Approval"
"14-1-6085573-1-10-104";"Field 'Purch: No. of Overdue PIs'(104) in Table 'Document Capture Setup'(6085573)";"No. of Overdue Invoices";"No. of Overdue Invoices"
"14-1-6085573-1-10-11";"Field 'PDF File Path'(11) in Table 'Document Capture Setup'(6085573)";"PDF File Path";"PDF File Path"
"14-1-6085573-1-10-110";"Field 'Purch: No. of Open PCs'(110) in Table 'Document Capture Setup'(6085573)";"No. of Open Credit Memoes";"No. of Open Credit Memoes"
"14-1-6085573-1-10-111";"Field 'Purch: No. of Released PCs'(111) in Table 'Document Capture Setup'(6085573)";"No. of Released PCM";"No. of Released PCM"
"14-1-6085573-1-10-112";"Field 'Purch: No. of PCs for Approval'(112) in Table 'Document Capture Setup'(6085573)";"No. of Credit Memoes for Approval";"No. of Credit Memoes for Approval"
"14-1-6085573-1-10-119";"Field 'Purch: No. of Overdue Ap. Ent.'(119) in Table 'Document Capture Setup'(6085573)";"No. of Overdue Approval Entries";"No. of Overdue Approval Entries"
"14-1-6085573-1-10-120";"Field 'Purch: Last Status E-Mail Sent'(120) in Table 'Document Capture Setup'(6085573)";"Last Status E-Mail Sent";"Last Status E-Mail Sent"
"14-1-6085573-1-10-121";"Field 'Purch: 4-eyes Approval'(121) in Table 'Document Capture Setup'(6085573)";"4-eyes Approval";"4-eyes Approval"
"14-1-6085573-1-20-121";"Field 'Purch: 4-eyes Approval'(121) in Table 'Document Capture Setup'(6085573)";"Not Required,Required,Required - both with full amounts limits";"Not Required,Required,Required - both with full amounts limits"
"14-1-6085573-1-10-122";"Field 'Purch: Approval Template'(122) in Table 'Document Capture Setup'(6085573)";"Approval Template";"Approval Template"
"14-1-6085573-1-10-123";"Field 'Purch: Approval E-Mail Subject'(123) in Table 'Document Capture Setup'(6085573)";"Approval E-Mail Subject";"Approval E-Mail Subject"
"14-1-6085573-1-10-124";"Field 'Check Amounts on Approval'(124) in Table 'Document Capture Setup'(6085573)";"Check Amounts on Approval";"Check Amounts on Approval"
"14-1-6085573-1-20-124";"Field 'Check Amounts on Approval'(124) in Table 'Document Capture Setup'(6085573)";"No,Every Approval,Last Approval";"No,Every Approval,Last Approval"
"14-1-6085573-1-10-125";"Field 'Purch: Archive Doc. on Approv.'(125) in Table 'Document Capture Setup'(6085573)";"Archive Document on Approval";"Archive Document on Approval"
"14-1-6085573-1-10-126";"Field 'Purch: Amount Valid. on Post.'(126) in Table 'Document Capture Setup'(6085573)";"Amount Validation on Post";"Amount Validation on Post"
"14-1-6085573-1-20-126";"Field 'Purch: Amount Valid. on Post.'(126) in Table 'Document Capture Setup'(6085573)";"Not Required,Amount Excl. VAT and Amount Incl. VAT must match imported amounts,Only Amount Incl. VAT must match imported amounts,Only Amount Excl. VAT must match imported amounts";"Not Required,Amount Excl. VAT and Amount Incl. VAT must match imported amounts,Only Amount Incl. VAT must match imported amounts,Only Amount Excl. VAT must match imported amounts"
"14-1-6085573-1-10-127";"Field 'Purch: Allow Force Approval'(127) in Table 'Document Capture Setup'(6085573)";"Allow Force Approval";"Allow Force Approval"
"14-1-6085573-1-10-13";"Field 'TIFF File Path'(13) in Table 'Document Capture Setup'(6085573)";"TIFF File Path";"TIFF File Path"
"14-1-6085573-1-10-130";"Field 'Purch. Allocation Nos.'(130) in Table 'Document Capture Setup'(6085573)";"Purchase Allocation Nos.";"Purchase Allocation Nos."
"14-1-6085573-1-10-132";"Field 'Auto. Post Purch. Allocation'(132) in Table 'Document Capture Setup'(6085573)";"Auto. Post Purchase Allocation";"Auto. Post Purchase Allocation"
"14-1-6085573-1-10-133";"Field 'Purch. Alloc. G/L Account Type'(133) in Table 'Document Capture Setup'(6085573)";"Purchase Allocation G/L Account Type";"Purchase Allocation G/L Account Type"
"14-1-6085573-1-20-133";"Field 'Purch. Alloc. G/L Account Type'(133) in Table 'Document Capture Setup'(6085573)";"Use Posting Setup,Use Account on Purchase Lines";"Use Posting Setup,Use Account on Purchase Lines"
"14-1-6085573-1-10-134";"Field 'Purch. Alloc. Source Code'(134) in Table 'Document Capture Setup'(6085573)";"Purchase Allocation Source Code";"Purchase Allocation Source Code"
"14-1-6085573-1-10-135";"Field 'Purch. Alloc. Amounts to Use'(135) in Table 'Document Capture Setup'(6085573)";"Purchase Allocation Amounts to Use";"Purchase Allocation Amounts to Use"
"14-1-6085573-1-20-135";"Field 'Purch. Alloc. Amounts to Use'(135) in Table 'Document Capture Setup'(6085573)";"Use Lines or Imported Amounts,Always use Imported Amounts";"Use Lines or Imported Amounts,Always use Imported Amounts"
"14-1-6085573-1-10-136";"Field 'Purch.: Recreate Appvl. Hiera.'(136) in Table 'Document Capture Setup'(6085573)";"Recreate Approval Hierarchy on Forward";"Recreate Approval Hierarchy on Forward"
"14-1-6085573-1-10-137";"Field 'Check Dim. Submit for Approval'(137) in Table 'Document Capture Setup'(6085573)";"Check Dim. on Submit for Approval";"Check Dim. on Submit for Approval"
"14-1-6085573-1-10-138";"Field 'Rev. Purch.Alloc. Posting Date'(138) in Table 'Document Capture Setup'(6085573)";"Reversed Purch. Alloc. Posting Date";"Reversed Purch. Alloc. Posting Date"
"14-1-6085573-1-20-138";"Field 'Rev. Purch.Alloc. Posting Date'(138) in Table 'Document Capture Setup'(6085573)";"Original purch. allocation posting date,Invoice/cr. memo posting date";"Original purch. allocation posting date,Invoice/cr. memo posting date"
"14-1-6085573-1-10-139";"Field 'Check Dimensions on Approval'(139) in Table 'Document Capture Setup'(6085573)";"Check Dimensions on Approval";"Check Dimensions on Approval"
"14-1-6085573-1-20-139";"Field 'Check Dimensions on Approval'(139) in Table 'Document Capture Setup'(6085573)";"No,Every Approval,Last Approval";"No,Every Approval,Last Approval"
"14-1-6085573-1-10-14";"Field 'Disk File Directory Structure'(14) in Table 'Document Capture Setup'(6085573)";"Disk File Directory Structure";"Disk File Directory Structure"
"14-1-6085573-1-20-14";"Field 'Disk File Directory Structure'(14) in Table 'Document Capture Setup'(6085573)";"One Directory,Year\Month,Year\Month\Day";"One Directory,Year\Month,Year\Month\Day"
"14-1-6085573-1-10-140";"Field 'Web: Show Description 2'(140) in Table 'Document Capture Setup'(6085573)";"Show Description 2";"Show Description 2"
"14-1-6085573-1-10-141";"Field 'Web: Show Line Discount Pct.'(141) in Table 'Document Capture Setup'(6085573)";"Show Line Discount Pct.";"Show Line Discount Pct."
"14-1-6085573-1-10-142";"Field 'Web: Show Prod. Posting Group'(142) in Table 'Document Capture Setup'(6085573)";"Show Prod. Posting Group";"Show Prod. Posting Group"
"14-1-6085573-1-10-143";"Field 'Maintain User Document Search'(143) in Table 'Document Capture Setup'(6085573)";"Maintain User Specific Doc. Search";"Maintain User Specific Doc. Search"
"14-1-6085573-1-10-144";"Field 'Web: Show Posting Account Name'(144) in Table 'Document Capture Setup'(6085573)";"Show Posting Account Name";"Show Posting Account Name"
"14-1-6085573-1-10-145";"Field 'Web: Dim. & Job Field Place.'(145) in Table 'Document Capture Setup'(6085573)";"Dimension && Job Fields Placement";"Dimension && Job Fields Placement"
